row_id,boardgame,release_year,min_players,max_players,min_playtime,max_playtime,minimum_age,avg_rating,num_ratings,complexity,rank_overall,owned,wishlisted,total_plays,fans,amazon_price,std_deviation,monthly_plays,previously_owned,for_trade,want_trade,categories
1,Brass: Birmingham,2018,2,4,60,120,14,8.575,53548,3.87,1,76201,20334,152594,6726,69.95,1.42,1208,3420,278,1758,Age of Reason; Economic; Industry / Manufacturing; Post-Napoleonic; Trains; Transportation
2,Pandemic Legacy: Season 1,2015,2,4,60,60,13,8.512,56071,2.83,2,87378,14478,301410,4221,76.97,1.6,387,12927,509,799,Environmental; Medical
3,Ark Nova,2021,1,4,90,150,14,8.539,54528,3.79,3,79476,16121,528979,7465,71.81,1.39,7019,3234,415,1073,Animals; Card Game; Economic; Environmental
4,Gloomhaven,2017,1,4,60,120,14,8.557,65443,3.92,4,101913,21597,542336,10780,,1.74,1206,8682,1210,1164,Adventure; Exploration; Fantasy; Fighting; Miniatures
5,Twilight Imperium: Fourth Edition,2017,3,6,240,480,14,8.572,26686,4.34,5,32012,12449,49484,3546,172.29,1.64,363,1738,212,1074,Civilization; Economic; Exploration; Negotiation; Political; Science Fiction; Space Exploration; Territory Building; Wargame
6,Dune: Imperium,2020,1,4,60,120,14,8.418,53995,3.07,6,72571,14792,210763,6400,51.98,1.28,1589,4236,492,1074,Movies / TV / Radio theme; Novel-based; Political; Science Fiction
7,Terraforming Mars,2016,1,5,120,120,12,8.347,107994,3.27,7,151245,25730,740148,11977,79.99,1.43,3635,8129,809,1890,Civilization; Economic; Environmental; Industry / Manufacturing; Science Fiction; Space Exploration; Territory Building
8,War of the Ring: Second Edition,2011,2,4,150,240,13,8.548,23752,4.22,8,39262,12412,42493,3419,94.71,1.48,296,2581,281,1395,Fantasy; Fighting; Novel-based; Territory Building; Wargame
9,Star Wars: Rebellion,2016,2,4,180,240,14,8.418,34995,3.75,9,54891,14452,55353,3801,109.99,1.36,208,3487,393,1475,Civil War; Movies / TV / Radio theme; Science Fiction; Space Exploration; Wargame
10,Dune: Imperium É?? Uprising,2023,1,6,60,120,13,8.707,13487,3.51,10,21384,6566,39729,2323,56.4,1.33,1099,439,67,828,Movies / TV / Radio theme; Novel-based; Science Fiction
11,Spirit Island,2017,1,4,90,120,13,8.339,58873,4.08,11,90410,23844,390307,7768,64.99,1.52,3294,6607,632,1791,Environmental; Fantasy; Mythology; Territory Building
12,Gloomhaven: Jaws of the Lion,2020,1,4,30,120,14,8.382,38651,3.64,12,83848,8865,194704,4120,64.95,1.48,1064,6956,1066,442,Adventure; Exploration; Fantasy; Fighting; Miniatures
13,Gaia Project,2017,1,4,60,150,12,8.359,29894,4.4,13,36748,12470,125607,2973,,1.41,753,3121,356,1366,Civilization; Economic; Science Fiction; Space Exploration; Territory Building
14,Twilight Struggle,2005,2,2,120,180,13,8.235,50906,3.61,14,71760,12794,133314,5372,64.5,1.58,255,6918,1101,1296,Modern Warfare; Political; Wargame
15,Through the Ages: A New Story of Civilization,2015,2,4,120,120,14,8.261,33740,4.44,15,39022,9899,144956,2581,79.99,1.53,527,4703,548,954,Card Game; Civilization; Economic
16,The Castles of Burgundy,2011,2,4,30,90,12,8.152,66796,2.97,16,81487,13425,410557,4643,399.99,1.25,1746,8808,928,1102,Animals; Dice; Medieval; Territory Building
17,Great Western Trail,2016,2,4,75,150,12,8.163,42836,3.7,17,46377,9971,153049,2608,42.74,1.32,342,6054,642,1119,American West; Animals; Economic
18,Eclipse: Second Dawn for the Galaxy,2020,2,6,60,200,14,8.409,16024,3.65,18,20606,8588,32784,2239,225,1.39,225,1184,124,949,Civilization; Exploration; Science Fiction; Space Exploration; Territory Building; Wargame
19,Scythe,2016,1,5,90,115,14,8.115,89793,3.45,19,122965,25439,328201,10384,84,1.45,1135,7870,963,1797,Economic; Fighting; Science Fiction; Territory Building
20,Brass: Lancashire,2007,2,4,60,120,14,8.198,26390,3.85,20,34563,6241,80344,2181,69.6,1.36,219,4229,570,955,Economic; Educational; Industry / Manufacturing; Post-Napoleonic; Transportation
21,7 Wonders Duel,2015,2,2,30,30,10,8.084,103726,2.23,21,174404,11713,604553,6429,,1.2,2740,9336,1343,857,Ancient; Card Game; City Building; Civilization; Economic
22,Frosthaven,2022,1,4,90,180,14,8.773,9036,4.41,22,22261,6188,102087,2546,198.95,1.93,1410,851,218,328,Adventure; Exploration; Fantasy; Fighting; Miniatures
23,Nemesis,2018,1,5,90,180,12,8.254,34821,3.48,23,47097,14803,82874,5471,138.63,1.52,524,2832,220,1220,Adventure; Horror; Miniatures; Science Fiction
24,Clank! Legacy: Acquisitions Incorporated,2019,2,4,90,120,13,8.511,10679,2.74,24,18480,6536,62938,1079,100,1.44,295,1665,127,653,Adventure; Fantasy
25,A Feast for Odin,2016,1,4,30,120,12,8.166,31679,3.86,25,41417,15786,123275,2728,,1.38,643,3485,300,1974,Animals; Economic; Farming; Industry / Manufacturing; Medieval; Puzzle
26,Concordia,2013,2,5,100,100,13,8.084,43420,2.99,26,49571,12179,144417,2698,52.47,1.21,446,4019,410,1530,Ancient; Economic; Nautical
27,Great Western Trail: Second Edition,2021,1,4,75,150,12,8.284,16100,3.71,27,23201,4971,59591,1289,65.99,1.29,458,1611,191,519,American West; Animals; Economic
28,Lost Ruins of Arnak,2020,1,4,30,120,12,8.071,51953,2.93,28,78658,14978,285051,5124,59.99,1.26,2563,4064,475,1117,Adventure; Card Game; Exploration; Fantasy
